ARTICULO,VENTAS UNIDADES TOTALES,VALORES VENTAS TOTALES,VENTAS SEMANALES PROMEDIO TOTAL POR UNIDAD,REGION,FECHA,SEMANA,# SEMANA,MES,AÑO
7501025401252,11.34,103.336,218.077,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058784346,0.189,36.151,1.835,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
77026262042081,2.252,26.792,12.798,TOTAL AUTOS AREA 6,2023-03-06,09-23,9,3,2023
7501681100421,1.752,30.61,11.838,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501681100674,0.088,6.215,2.378,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501681100254,0.698,10.944,8.116,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501681100469,2.814,50.464,11.211,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501681100513,0.014,0.146,4.667,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75016811006431,0.055,0.585,4.231,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501681100292,0.485,13.988,5.33,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501681100384,0.17,2.338,3.778,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501681100773,0.338,6.961,6.145,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501681100766,0.715,24.489,7.371,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501681100223,2.367,85.411,14.345,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025401894,0.127,3.926,2.886,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501025401917,0.288,19.72,3.032,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058715364,0.007,0.154,2.333,TOTAL AUTOS AREA 6,2022-11-20,46-22,46,11,2022
