ARTICULO,VENTAS UNIDADES TOTALES,VALORES VENTAS TOTALES,VENTAS SEMANALES PROMEDIO TOTAL POR UNIDAD,REGION,FECHA,SEMANA,# SEMANA,MES,AÑO
7501025412135,0.487,26.073,3.927,TOTAL AUTOS AREA 6,2023-03-27,12-23,12,3,2023
7501071907722,0.005,0.065,0.803,TOTAL AUTOS AREA 6,2022-06-26,25-22,25,6,2022
7501071907692,0.563,14.447,3.236,TOTAL AUTOS AREA 6,2022-06-26,25-22,25,6,2022
7702626213781,0.562,30.606,3.535,TOTAL AUTOS AREA 6,2022-04-24,16-22,16,4,2022
7501058715883,0.145,36.163,1.883,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501058757890,0.846,80.919,2.626,TOTAL AUTOS AREA 6,2022-04-24,16-22,16,4,2022
7501058757449,0.15,29.165,2.027,TOTAL AUTOS AREA 6,2022-04-24,16-22,16,4,2022
7501058784353,0.787,82.552,2.589,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75010587928081,0.016,2.261,2.286,TOTAL AUTOS AREA 6,2022-04-24,16-22,16,4,2022
7501058716767,0.45,70.923,3.237,TOTAL AUTOS AREA 6,2022-04-24,16-22,16,4,2022
7501058716071,0.078,14.508,2.053,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75010587949491,0.016,2.347,3.2,TOTAL AUTOS AREA 6,2022-04-24,16-22,16,4,2022
75010587969501,0.008,0.099,2.667,TOTAL AUTOS AREA 6,2022-04-24,16-22,16,4,2022
737128127004,0.131,1.772,3.195,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
75010587949562,0.007,0.189,1.4,TOTAL AUTOS AREA 6,2022-04-24,16-22,16,4,2022
75010587965781,0.007,0.382,1.167,TOTAL AUTOS AREA 6,2022-04-24,16-22,16,4,2022
7501268200261,0.007,0.357,3.5,TOTAL AUTOS AREA 6,2022-06-26,25-22,25,6,2022
7501268200049,0.585,11.288,7.8,TOTAL AUTOS AREA 6,2022-06-26,25-22,25,6,2022
7501268200506,0.009,0.185,4.5,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
7501268200001,0.149,1.565,7.095,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
8411660210036,0.039,2.689,1.95,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
8411660210012,0.008,0.504,1.6,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
8411660210029,0.044,2.959,2.095,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501025401993,21.032,630.178,178.237,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501025402051,27.233,791.7,141.839,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501025402235,2.127,69.69,15.085,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501025402242,6.122,200.796,23.277,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501205412122,0.939,27.106,6.302,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501025406561,2.969,73.422,14.414,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501025412135,0.87,41.456,6.493,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501025406578,2.134,84.236,19.222,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501025412104,1.783,28.195,11.357,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
4008455476711,0.111,3.606,5.045,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7502275145897,0.142,20.069,2.219,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
4008455567013,0.647,14.63,5.092,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
3045206382007,0.006,0.48,1.2,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
75000622,34.109,851.848,88.365,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
75000639,47.497,1953.486,95.185,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
75000608,0.826,9.1,16.52,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501025408947,2.903,37.176,31.554,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
75000615,56.687,816.426,116.163,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501025411893,1.406,54.92,6.478,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501025412005,1.055,93.163,5.672,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501025409470,0.002,0.086,2.0,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501025411992,2.078,58.388,7.783,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501025401948,0.015,0.405,3.0,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501025405106,6.54,216.831,16.516,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501025401313,0.89,50.476,5.894,TOTAL AUTOS AREA 6,2023-03-13,10-23,10,3,2023
7501268200001,0.118,1.239,6.941,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
8410907050053,0.043,3.455,3.071,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501268200506,0.006,0.123,3.0,TOTAL AUTOS AREA 6,2022-04-10,14-22,14,4,2022
7501080954793,0.515,33.75,2.739,TOTAL AUTOS AREA 6,2023-04-17,15-23,15,4,2023
